date,camera,video_file,time,loom_no,butterfly_no,parrot_no,surg_no,chromis_pres,butterfly_fl,parrot_fl,surg_fl,chromis_fl,completion_date,completed_by,notes,roving_pres,roving_fl,fish_pres,response,,
6/11/2024,A,GX029698,00:09,1,0,0,0,y,n,n,n,n,10/1/2024,JM,,n,n,y,n,,
6/11/2024,A,GX029698,01:10,2,0,0,0,y,n,n,n,n,10/1/2024,JM,,n,n,y,n,,
6/11/2024,A,GX029698,03:12,4,0,0,1,n,n,n,n,n,10/1/2024,JM,,y,n,y,n,total looms,total responses
6/11/2024,A,GX029698,04:13,5,0,0,0,y,n,n,n,n,10/1/2024,JM,,n,n,y,n,778,33
6/11/2024,A,GX029698,05:14,6,0,0,1,y,n,n,n,n,10/1/2024,JM,fish was only partially in frame but clearly did not flee.,y,n,y,n,,
6/11/2024,A,GX029698,06:15,7,0,1,1,n,n,n,n,n,10/1/2024,JM,,y,n,y,n,,
6/11/2024,A,GX029698,07:16,8,0,1,0,n,n,n,n,n,10/1/2024,JM,,y,n,y,n,,
6/11/2024,A,GX029698,08:17,9,0,1,0,n,n,u,n,n,10/1/2024,JM,fish was only partially in frame and couldn't see if it fled,y,n,y,n,,
6/11/2024,A,GX039698,00:43,10,0,0,0,y,n,n,n,n,10/1/2024,JM,,n,n,y,n,,
6/11/2024,A,GX039698,01:44,11,0,0,0,y,n,n,n,n,10/1/2024,JM,,n,n,y,n,,
6/11/2024,A,GX039698,02:45,12,0,0,1,y,n,n,n,n,10/1/2024,JM,"surgeonfish was starting to leave fish already, but didn't respond. A few parrotfishes were peripheral to the arena but did not respond either.",y,n,y,n,,
6/11/2024,A,GX039698,03:47,13,0,0,0,y,n,n,n,n,10/1/2024,JM,,n,n,y,n,,
6/11/2024,A,GX039698,04:48,14,0,1,0,y,n,n,n,n,10/1/2024,JM,,y,n,y,n,,
6/11/2024,A,GX039698,06:49,16,0,0,1,n,n,n,n,n,10/1/2024,JM,"another surgeonfish and parrotfish came in as the stimulus was starting, none responded, including the main surgeonfish that was directly in front of the stimulus foraging on BCM. ",y,n,y,n,,
6/11/2024,A,GX039698,07:50,17,0,4,1,n,n,n,n,n,10/1/2024,JM,"a couple more parrots peripherally too (some moved in as stimulus occurred), two included probably juveniles. No responses.",y,n,y,n,,
6/11/2024,A,GX049698,00:18,18,0,2,0,n,n,n,n,n,10/1/2024,JM,"one parrot was leaving already and continued to with no obvious response, another was coming in and continued to move with no apparent response",y,n,y,n,,
6/11/2024,A,GX049698,01:19,19,0,1,0,n,n,n,n,n,10/1/2024,JM,,y,n,y,n,,
